
Index    Rcvd     Predict   Expect
676      1567     1567      1567
677      2235     2235      2235
678      2119     2119      2119
679      2179     2179      2179
680      1391     1391      1391
681      1635     1635      1635
682      2259     2259      2259
683      2611     2611      2611
684      2663     2663      2663
685      2327     2327      2327
686      1971     1971      1971
687      1707     1707      1707
688      1819     1819      1819
689      2049     2049      2049
690      2015     2015      2015
691      1971     1971      1971
692      1719     1719      1719
693      1499     1499      1499
694      2235     2235      2235
695      2635     2635      2635
696      2551     2551      2551
697         0     2533      2019
698         0     2515      1555
699         0     2497      1091
700         0     2479      1923
701         0     2461      2227
702         0     2444      2447
703      2427     2427      2427
704      1214     1214      1214
705      1895     1895      1895
706      2451     2451      2451
707      2595     2595      2595
708      2095     2095      2095
709      1719     1719      1719
710      1899     1899      1899
711      2443     2443      2443
712      1883     1883      1883
713      1379     1379      1379
714      1811     1811      1811
715      2379     2379      2379
716      2627     2627      2627
717      2455     2455      2455
718      1947     1947      1947
719      1639     1639      1639
720      2147     2147      2147
721      2187     2187      2187
722      1907     1907      1907
723         0     1837      1603
724         0     1767      1427
725         0     1698      2571
726         0     1629      2591
727         0     1560      1791
728      1491     1491      1491
729      2191     2191      2191
730      2263     2263      2263
731      2175     2175      2175
732      1022     1022      1022
733      2295     2295      2295
734      2671     2671      2671
735      2699     2699      2699
736      2151     2151      2151
737      2219     2219      2219
738      1987     1987      1987
739      1519     1519      1519
740         0     1882      1895
741         0     2245      2243
742      2607     2607      2607
743      2507     2507      2507
744      1699     1699      1699
745      2283     2283      2283
746      2283     2283      2283
747      2343     2343      2343
748      2355     2355      2355
749      2395     2395      2395
750      2351     2351      2351
751      2263     2263      2263
752      1859     1859      1859
753      1859     1859      1859
754         0     2057      2119
755         0     2254      2283
756      2451     2451      2451
757      2543     2543      2543
758      2387     2387      2387
759      2263     2263      2263
760      2335     2335      2335
761      2259     2259      2259
762         0     2149      2203
763      2039     2039      2039
764      2031     2031      2031
765      2163     2163      2163
766      2395     2395      2395
767      2403     2403      2403
768         0     2199      2095
769      1995     1995      1995
770         0     1997      1979
771         0     1999      2431
772         0     2001      2203
773      2003     2003      2003
774      2123     2123      2123
775      2287     2287      2287
776      2291     2291      2291
777      1635     1635      1635
778      2147     2147      2147
779         0     2421      2471
780      2695     2695      2695
781      2555     2555      2555
782      1883     1883      1883
783      1995     1995      1995
784      2403     2403      2403
785      1923     1923      1923
786      2571     2571      2571
787      2499     2499      2499
788      2455     2455      2455
789      1871     1871      1871
790      1351     1351      1351
791      2151     2151      2151
792         0     2267      2267
793      2383     2383      2383
794      2183     2183      2183
795      1403     1403      1403
796      1975     1975      1975
797         0     2275      2347
798      2575     2575      2575
799      2435     2435      2435
800      1847     1847      1847
801      2023     2023      2023
802      2035     2035      2035
803      2335     2335      2335
804      1547     1547      1547
805      1539     1539      1539
806      2419     2419      2419
807      2643     2643      2643
808      2295     2295      2295
809      1943     1943      1943
810      1851     1851      1851
811      2095     2095      2095
812         0     2257      2259
813      2419     2419      2419
814      1943     1943      1943
815      1527     1527      1527
816      2227     2227      2227
817         0     2525      2611
818      2823     2823      2823
819      1915     1915      1915
820      1579     1579      1579
821      2111     2111      2111
822         0     2231      2239
823      2351     2351      2351
824      1847     1847      1847
825      1554     1554      1554
826      1955     1955      1955
827      2567     2567      2567
828      2783     2783      2783
829      2679     2679      2679
830      1995     1995      1995
831      1663     1663      1663
832      1771     1771      1771
833      2371     2371      2371
834      2443     2443      2443
835      1482     1482      1482
836      2011     2011      2011
837      2699     2699      2699
838      2571     2571      2571
839      1487     1487      1487
840      1843     1843      1843
841         0     2091      2155
842      2339     2339      2339
843      1447     1447      1447
844      1435     1435      1435
845      2151     2151      2151
846      2311     2311      2311
847         0     2349      2351
848      2387     2387      2387
849      2311     2311      2311
850      2247     2247      2247
851      1971     1971      1971
852      1795     1795      1795
853      2048     2048      2048
854         0     2222      2167
855      2395     2395      2395
856      2559     2559      2559
857      2035     2035      2035
858      2011     2011      2011
859      2163     2163      2163
860      2363     2363      2363
861      2531     2531      2531
862      2379     2379      2379
863      1827     1827      1827
864      2275     2275      2275
865      2447     2447      2447
866      2167     2167      2167
867      2027     2027      2027
868      1991     1991      1991
869      2251     2251      2251
870      2559     2559      2559
871      2507     2507      2507
872      1927     1927      1927
873      1983     1983      1983
874      1991     1991      1991
875      2299     2299      2299
876      2383     2383      2383
877      2055     2055      2055
878      1955     1955      1955
879      2679     2679      2679
880      2563     2563      2563
881      1935     1935      1935
882      1887     1887      1887
883      1895     1895      1895
884      2219     2219      2219
885      2267     2267      2267
886      2227     2227      2227
887      2059     2059      2059
888      1555     1555      1555
889      2511     2511      2511
890      2715     2715      2715
891      2451     2451      2451
892      1731     1731      1731
893      1667     1667      1667
894      2131     2131      2131
895      2143     2143      2143
896      2351     2351      2351
897      2343     2343      2343
898      1831     1831      1831
899      1635     1635      1635
900      2519     2519      2519
901      2603     2603      2603
902      2527     2527      2527
903      1923     1923      1923
904      1851     1851      1851
905      1939     1939      1939
906      2143     2143      2143
907      2343     2343      2343
908      2083     2083      2083
909      2203     2203      2203
910      2515     2515      2515
911      2571     2571      2571
912      1823     1823      1823
913      1747     1747      1747
914      2071     2071      2071
915      2099     2099      2099
916      2187     2187      2187
917      2347     2347      2347
918      1859     1859      1859
919      1655     1655      1655
920      2131     2131      2131
921      2363     2363      2363
